127.0.0.1 - - [13/Jan/2021:23:48:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:36 +0900] "GET /WEB12_ShoppingMall/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:42 +0900] "GET /WEB12_ShoppingMall/shop.do?command=index HTTP/1.1" 200 4083
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/css/shopping.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/member/member.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/mypage/mypage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/images/main_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/product_images/w-09.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/product_images/w-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/product_images/w11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/product_images/w1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/product_images/w-10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/product_images/w-25.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:43 +0900] "GET /WEB12_ShoppingMall/images/bottom_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:47 +0900] "GET /WEB12_ShoppingMall/images/purple.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:55 +0900] "GET /WEB12_ShoppingMall/shop.do?command=admin HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:55 +0900] "GET /WEB12_ShoppingMall/admin/images/bar_01.gif HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:55 +0900] "GET /WEB12_ShoppingMall/admin/css/admin.css HTTP/1.1" 200 6271
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:48:55 +0900] "GET /WEB12_ShoppingMall/admin/images/text.gif HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:49:01 +0900] "POST /WEB12_ShoppingMall/shop.do HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:49:11 +0900] "POST /WEB12_ShoppingMall/shop.do HTTP/1.1" 200 5416
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:49:11 +0900] "GET /WEB12_ShoppingMall/admin/product/product.js HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:49:12 +0900] "GET /WEB12_ShoppingMall/admin/images/under_logo.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:49:15 +0900] "GET /WEB12_ShoppingMall/shop.do?command=adminProductList&page=2 HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:49:23 +0900] "POST /WEB12_ShoppingMall/shop.do?command=adminProductWriteForm HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:50:10 +0900] "GET /WEB12_ShoppingMall/shop.do?command=adminProductList HTTP/1.1" 200 5416
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:50:12 +0900] "GET /WEB12_ShoppingMall/shop.do?command=adminOrderList HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:23:50:17 +0900] "POST /WEB12_ShoppingMall/shop.do?command=adminProductDetail&pseq=10 HTTP/1.1" 200 2075
